cf_type,addr,target,bpu_hit_uc_hit,bpu_hit_uc_miss,mispred_uc_hit,mispred_uc_miss,misfetch_uc_hit,misfetch_uc_miss,btb_miss_uc_hit,btb_miss_uc_miss,other_recovery_uc_hit,other_recovery_uc_miss,recover_redirect_extra_fetch_latency
2,7f585b570923,0,0,294,0,0,0,0,0,0,0,0,0
2,7f585b570960,7f585b57099c,1,293,0,0,0,0,0,1,0,0,2
3,7f585b570164,7f585b5586b0,0,18,0,0,0,0,0,1,0,0,2
2,7f585b5589da,7f585b5587b7,1,29,0,0,0,0,0,1,0,0,2
2,7f585b5709d9,0,1,293,0,0,0,0,0,0,0,0,0
2,7f585b470999,0,0,105,0,0,0,0,0,0,0,0,0
2,7f585b4709d9,7f585b470c30,0,105,0,0,0,0,0,45,0,0,90
2,7f585b578dd9,7f585b578de4,0,30,0,0,0,0,0,15,0,0,30
2,7f585b570598,7f585b5708f0,0,312,0,1,0,0,0,1,0,0,4
2,7f585b55899f,0,608,7262,0,0,0,0,0,0,0,0,0
2,7f585b5709dd,7f585b570a40,1,293,0,0,0,0,0,1,0,0,2
3,7f585b57099c,7f585babb4c0,1,311,0,0,0,0,0,21,0,0,42
